Gene	OW1	OW2	OW3	OW4	YW2	YW3	YW4	YW5
FEX_0009503	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0009504	5.00	2.00	0.00	2.00	0.00	1.00	5.00	0.00
FEX_0009505	2241.85	2013.08	2793.59	1679.02	429.15	465.95	1783.46	158.64
FEX_0009506	1.00	1.00	0.00	0.00	1.00	3.00	1.00	6.42
FEX_0009507	0.00	0.00	0.00	1.00	2.00	0.00	1.00	1.00
FEX_0009508	0.00	4.03	4.00	0.00	0.00	2.00	2.00	1.00
FEX_0009509	14.15	44.27	29.56	15.40	1.00	27.77	20.36	10.55
FEX_0009510	0.00	0.00	0.00	2.00	0.00	0.00	1.00	0.00
FEX_0009511	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00
FEX_0009512	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
FEX_0009513	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0009514	0.00	0.00	2.00	2.00	0.00	11.00	0.00	0.00
FEX_0009515	6.00	1.00	2.00	1.00	1.00	4.00	2.00	0.00
FEX_0009516	610.00	482.00	1037.00	791.00	372.00	418.00	666.00	61.00
FEX_0009517	1.00	0.00	0.00	0.00	1.06	0.00	0.69	1.00
FEX_0009518	8.00	9.00	1.00	4.00	11.94	3.00	4.00	2.00
FEX_0009519	3341.33	2713.58	5276.59	4582.18	1005.20	2719.70	4618.81	363.60
FEX_0009520	825.84	794.71	539.84	503.03	1261.68	825.18	253.37	639.23
FEX_0009521	21.00	34.00	31.00	43.00	33.00	13.00	36.00	28.00
FEX_0009522	304.16	486.29	399.16	288.97	376.32	426.82	496.63	108.77
FEX_0009523	403.29	478.02	448.23	270.44	480.70	667.55	573.11	251.18
FEX_0009524	448.71	637.98	462.77	261.56	704.30	656.45	944.89	162.82
FEX_0009525	74.00	76.00	46.00	45.00	275.00	152.00	128.00	250.00
FEX_0009526	2343.00	2322.00	2295.00	1871.00	3217.83	3292.00	3280.00	1936.00
FEX_0009527	0.00	3.00	7.00	3.00	7.00	7.00	0.00	8.00
FEX_0009528	3.00	3.00	4.00	1.00	70.17	15.00	20.00	137.00
FEX_0009529	0.00	0.00	4.00	2.00	0.00	5.00	1.00	1.00
FEX_0009530	743.39	636.52	997.89	1247.89	254.51	528.71	746.33	41.42
FEX_0009531	11.61	34.48	22.11	25.11	3.49	18.29	32.67	4.58
FEX_0009533	0.00	2.00	12.00	13.00	0.00	18.00	2.00	1.00
FEX_0009534	2.00	14.00	16.91	13.42	1.01	5.04	3.75	4.84
FEX_0009535	595.00	612.00	586.00	574.00	1745.00	962.00	939.00	483.00
FEX_0009536	243.40	306.71	193.18	183.87	1862.10	2017.26	3183.24	6553.92
FEX_0009537	0.00	0.00	0.00	0.00	0.00	0.00	1.21	0.00
FEX_0009538	166.00	174.00	836.00	31.00	0.00	2437.00	492.00	116.00
FEX_0009539	633.60	1076.29	645.82	511.13	1759.90	1322.74	1359.56	453.08
FEX_0009540	1139.55	851.00	1236.16	837.12	659.00	699.44	1065.67	123.81
FEX_0009541	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0009542	231.80	180.26	216.87	192.39	1253.07	886.86	410.92	602.79
FEX_0009543	276.76	147.85	160.29	221.50	422.32	539.08	264.91	74.15
FEX_0009544	1.00	0.00	0.00	3.00	20.00	4.00	5.00	9.00
FEX_0009545	174.89	153.95	219.87	106.00	227.47	167.62	69.50	84.98
FEX_0009546	4.00	24.00	35.00	12.00	23.00	12.00	10.10	29.02
FEX_0009548	12.00	4.00	20.00	11.00	6.00	16.00	12.00	3.00
FEX_0009549	1.00	0.00	0.00	0.00	6.14	0.00	0.00	3.03
FEX_0009551	272.65	534.69	503.23	431.34	68.61	398.32	297.46	178.38
FEX_0009552	434.57	394.73	800.42	355.06	475.39	306.51	487.19	80.07
FEX_0009553	1208.83	1662.10	1033.13	883.07	4016.57	4171.45	2628.93	1019.27
FEX_0009554	439.79	441.08	271.52	351.09	1251.13	646.79	697.28	890.93
