cluster	EQ1	EQ2	EQ3	EQ4	EQ5	EQ6	EW1	EW2	EW3	EW4	EW5	EW6	OQ1	OQ3	OQ4	OQ5	OW1	OW4	OW5	OW7
FEX_0013042	0	99.85	0.2	2.71	49.91	2.75	5.56	25.23	100	0	15.78	0	2.69	1.74	0.12	16.67	4.24	20.13	8.12	23.53
FEX_0013043	0	0.5	0.26	NA	NA	3.1	0.65	0.6	66.67	0	NA	0	0.24	0.61	0.12	0	0	0.78	0.76	0.4
FEX_0013044	NA	0.5	NA	NA	NA	NA	NA	NA	66.67	0	NA	NA	0	NA	NA	NA	NA	0	NA	0.81
FEX_0013045	0	0.24	0	NA	0	1.7	0.42	0	0	0	0	0.28	0	0.95	0	NA	0	0	NA	0
FEX_0013046	NA	100	NA	NA	NA	NA	100	0	NA	50.5	92.83	100	NA	100	99.86	NA	100	NA	100	99.35
FEX_0013047	0	100	NA	0	NA	NA	100	0	NA	50.5	92.83	100	NA	100	99.86	NA	100	0	100	99.35
FEX_0013048	0.56	0.14	0.42	0.16	0.21	1.42	0.11	0.29	2.03	0.28	0.44	0.54	0.35	0.05	0.06	1.14	0.2	0.39	0.19	0.19
FEX_0013049	0	NA	NA	NA	NA	NA	0.48	0	NA	NA	NA	NA	0	NA	0	0.06	0	0	NA	0
FEX_0013050	0.22	NA	0	0	NA	4.95	0.07	0.28	0.29	NA	0.48	0.12	0.25	0	0.1	0	0.08	0.29	NA	0.44
FEX_0013053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
FEX_0013054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
FEX_0013057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
FEX_0013058	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0013059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.85	NA	NA	0	NA	NA	NA	NA
FEX_0013060	0	1.52	0.48	NA	33.33	0	0	0.72	NA	NA	1.43	0	0.14	0.14	NA	0	NA	0.25	0.11	0
FEX_0013061	0.32	6.9	0.03	1.62	0.33	1.14	0.26	2.77	0.46	0.42	67.16	4.41	3.07	3.33	11.08	5.15	2.98	3.87	11.81	7.45
FEX_0013062	0.03	0.1	0.03	2.2	0.33	1.37	0.3	0.06	0.54	0.17	4.35	0.22	0.34	0.03	0	0.13	0.02	0.16	0.1	0.15
FEX_0013063	0.04	0.11	0.03	0.18	0.38	1.37	0.79	0.09	0.63	0.23	NA	0.11	0.15	0.04	0	0.18	0.04	0.2	0.17	0
FEX_0013064	0.06	0.12	0.03	0.18	0.38	1.17	1.05	0.1	0.68	0.26	NA	0	0.21	0.04	0	0.18	0.04	0.06	0.17	0
FEX_0013065	0.29	0.33	5.99	0.18	0.41	1.09	0.38	1.68	0.12	0.4	0.26	0.19	0.46	2.22	0.06	0.13	0.02	0.14	0.11	0.22
FEX_0013066	1.84	51.11	NA	0.4	NA	0	NA	34.06	0.57	NA	98.57	25.51	30.62	33.11	49.88	33.33	28.16	18.82	66.47	87.28
FEX_0013067	0.11	0.08	0.64	19.06	0.15	0.86	0	1.19	0.65	49.54	2.54	28.06	0.52	0	0	0.06	0	0	0.74	4.72
FEX_0013068	0.19	0.05	0.08	1.3	0.7	0	0.05	0.26	0.4	0.41	0.52	0.16	0.2	0	NA	0	0	7.01	33.48	20.15
FEX_0013069	NA	0	0.28	NA	NA	0	NA	0	NA	NA	NA	0.84	0	0	NA	NA	NA	NA	0.39	0.38
FEX_0013070	0.3	1.34	0.31	0.2	0.21	1.37	0.92	0.65	1.47	0.18	1.01	0.41	1.02	0.09	0.05	0.1	1.46	0.15	0.28	0.33
